experience_id,employee_id,agency_name,agency_name_normalized,project_name,project_role,discipline,project_type,location_state,year_start,year_end,is_recent_5yr,is_lead_role,contract_value_musd,evidence_quote,source_file_path,last_verified,verified_by,status,notes
EXP-00016,EMP-0007,NJTA/Turnpike,NJTA/Turnpike,,Resident Engineer,CM/CI,construction management,DE,,,Unknown,Unknown,,"[experience_summary] New Jersey Department of Transportation (NJDOT), Route 9 Pavement Rehabilitation - Inspector/Office Engineer. Inspected, communicated, and prepared daily quantity reports for full",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master LechD.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00017,EMP-0007,PANYNJ,PANYNJ,,Resident Engineer,CM/CI,construction management,DE,,,Unknown,Unknown,,"[experience_summary] New Jersey Department of Transportation (NJDOT), Route 9 Pavement Rehabilitation - Inspector/Office Engineer. Inspected, communicated, and prepared daily quantity reports for full",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master LechD.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00018,EMP-0007,County/Municipal DOT,County/Municipal DOT,,Resident Engineer,CM/CI,construction management,DE,,,Unknown,Unknown,,"[experience_summary] New Jersey Department of Transportation (NJDOT), Route 9 Pavement Rehabilitation - Inspector/Office Engineer. Inspected, communicated, and prepared daily quantity reports for full",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master LechD.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00019,EMP-0007,NJTA/Turnpike,NJTA/Turnpike,,Resident Engineer,CM/CI,construction management,DE,,,Unknown,Unknown,,"[experience_summary] New Jersey Department of Transportation (NJDOT), Route 9 Pavement Rehabilitation - Inspector/Office Engineer. Inspected, communicated, and prepared daily quantity reports for full",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master LechD.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00020,EMP-0007,PANYNJ,PANYNJ,,Resident Engineer,CM/CI,construction management,DE,,,Unknown,Unknown,,"[experience_summary] New Jersey Department of Transportation (NJDOT), Route 9 Pavement Rehabilitation - Inspector/Office Engineer. Inspected, communicated, and prepared daily quantity reports for full",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master LechD.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00021,EMP-0007,Port Authority,Port Authority,,Resident Engineer,CM/CI,construction management,DE,,,Unknown,Unknown,,"[experience_summary] New Jersey Department of Transportation (NJDOT), Route 9 Pavement Rehabilitation - Inspector/Office Engineer. Inspected, communicated, and prepared daily quantity reports for full",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master LechD.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00022,EMP-0008,County/Municipal DOT,County/Municipal DOT,,,CM/CI,QA/QC,CT,,,Unknown,Unknown,,"[experience_summary] NYS Department of Transportation, (NYSDOT), Design Unit, Region 8, Poughkeepsie, NY - Local Projects Engineering & Environmental Advisor (PE 1) - Guide design and environmental pa",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\BanfieldV_KSE Resume.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00023,EMP-0008,NYSDOT,NYSDOT,,,CM/CI,QA/QC,CT,,,Unknown,Unknown,,"[experience_summary] NYS Department of Transportation, (NYSDOT), Design Unit, Region 8, Poughkeepsie, NY - Local Projects Engineering & Environmental Advisor (PE 1) - Guide design and environmental pa",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\BanfieldV_KSE Resume.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00024,EMP-0008,PANYNJ,PANYNJ,,,CM/CI,QA/QC,CT,,,Unknown,Unknown,,"[experience_summary] NYS Department of Transportation, (NYSDOT), Design Unit, Region 8, Poughkeepsie, NY - Local Projects Engineering & Environmental Advisor (PE 1) - Guide design and environmental pa",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\BanfieldV_KSE Resume.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00025,EMP-0008,County/Municipal DOT,County/Municipal DOT,,,CM/CI,QA/QC,CT,,,Unknown,Unknown,,"[experience_summary] NYS Department of Transportation, (NYSDOT), Design Unit, Region 8, Poughkeepsie, NY - Local Projects Engineering & Environmental Advisor (PE 1) - Guide design and environmental pa",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\BanfieldV_KSE Resume.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
